Command: lake env lean Audit.lean
Exit: 0
PASS Aiyagari1994.utilityRange_bounded
PASS Aiyagari1994.utility_bounds
PASS Aiyagari1994.valueRange_bounded
PASS Aiyagari1994.continuation_range_bounds
PASS Aiyagari1994.valueFunction_bounds
PASS Aiyagari1994.valueFunction_unique_fixedPoint
PASS Aiyagari1994.NNRealConcave
PASS Aiyagari1994.NNRealConcave.real_combination
PASS Aiyagari1994.nnrealConcave_zero
PASS Aiyagari1994.transition_convex_combination
PASS Aiyagari1994.continuation_concave
PASS Aiyagari1994.objective_convex_combination
PASS Aiyagari1994.bellman_preserves_concavity
PASS Aiyagari1994.bellman_strictMono
PASS Aiyagari1994.bellman_preserves_monotonicity
PASS Aiyagari1994.valueIteration_concave
PASS Aiyagari1994.valueIteration_monotone
PASS Aiyagari1994.valueFunction_concave
PASS Aiyagari1994.valueFunction_monotone
PASS Aiyagari1994.valueFunction_strictMono
PASS Aiyagari1994.valueFunction_concave_strictMono
PASS Aiyagari1994.AssetOptimal
PASS Aiyagari1994.assetOptimal_exists
PASS Aiyagari1994.objective_strictConcave_assets
PASS Aiyagari1994.assetOptimal_unique
PASS Aiyagari1994.assetOptimal_existsUnique
PASS Aiyagari1994.assetPolicy
PASS Aiyagari1994.assetPolicy_optimal
PASS Aiyagari1994.assetPolicy_le_state
PASS Aiyagari1994.assetPolicy_maximizes
PASS Aiyagari1994.assetOptimal_iff_maximizes
PASS Aiyagari1994.assetPolicy_existsUnique_maximizer
PASS Aiyagari1994.assetPolicy_zero
PASS Aiyagari1994.PositiveResources
PASS Aiyagari1994.positiveAssetShare
PASS Aiyagari1994.positiveAssetShare_mul
PASS Aiyagari1994.positiveAssetShare_continuous
PASS Aiyagari1994.assetPolicy_continuous_positive
PASS Aiyagari1994.assetPolicy_continuous
PASS Aiyagari1994.consumptionPolicy
PASS Aiyagari1994.consumptionPolicy_coe
PASS Aiyagari1994.consumptionPolicy_budget
PASS Aiyagari1994.consumptionPolicy_continuous
PASS Aiyagari1994.assetPolicy_unique_continuous
PASS Aiyagari1994.History
PASS Aiyagari1994.historySplit
PASS Aiyagari1994.newestShock
PASS Aiyagari1994.previousHistory
PASS Aiyagari1994.extendHistory
PASS Aiyagari1994.newestShock_measurable
PASS Aiyagari1994.previousHistory_measurable
PASS Aiyagari1994.extendHistory_measurable
PASS Aiyagari1994.newestShock_extend
